word_key,key,img_key,EnglishWord,PartOfSpeech,GeorgianWord,hint,priority,group,ExampleEnglish1,ExampleGeorgian1
do,do_p1s_pres,do,I do,verb-p1s,ვაკეთებ,present,2,verbs,I do my homework every evening,მე ყოველ საღამოს ვაკეთებ დავალებას
do,do_p2s_pres,do,You do,verb-p2s,აკეთებ,present,2,verbs,You do the dishes after dinner,შენ ვახშმის შემდეგ აკეთებ ჭურჭელს
do,do_p3s_pres,do,He/She does,verb-p3s,აკეთებს,present,2,verbs,He does sports on weekends,ის შაბათ-კვირას აკეთებს სპორტს
do,do_p1p_pres,do,We do,verb-p1p,ვაკეთებთ,present,2,verbs,We do coffee together in the morning,ჩვენ დილით ერთად ვაკეთებთ ყავას
do,do_p3p_pres,do,They do,verb-p3p,აკეთებენ,present,2,verbs,They do important jobs at the office,ისინი ოფისში მნიშვნელოვან საქმეებს აკეთებენ
do,do_p1s_past,do,I did,verb-p1s,გავაკეთე,past,2,verbs,I did all the shopping yesterday,მე გუშინ ყველა საყიდლები გავაკეთე
do,do_p2s_past,do,You did,verb-p2s,გააკეთე,past,2,verbs,You did the cooking for the whole family,შენ მთელი ოჯახისათვის გააკეთე საჭმელი
do,do_p3s_past,do,He/She did,verb-p3s,გააკეთა,past,2,verbs,She did the cleaning very carefully,მან ძალიან ყურადღებით გააკეთა დასუფთავება
do,do_p1p_past,do,We did,verb-p1p,გავაკეთეთ,past,2,verbs,We did our homework on time,ჩვენ დროზე გავაკეთეთ დავალება
do,do_p3p_past,do,They did,verb-p3p,გააკეთეს,past,2,verbs,They did hard work in the garden,მათ ბაღში მძიმე საქმე გააკეთეს
do,do_p1s_fut,do,I will do,verb-p1s,გავაკეთებ,future,2,verbs,I will do the laundry tomorrow,მე ხვალ გავაკეთებ სარეცხს
do,do_p2s_fut,do,You will do,verb-p2s,გააკეთებ,future,2,verbs,You will do the project next week,შენ მომავალ კვირას გააკეთებ პროექტს
do,do_p3s_fut,do,He/She will do,verb-p3s,გააკეთებს,future,2,verbs,He will do the repair of the car,ის მანქანის შეკეთებას გააკეთებს
do,do_p1p_fut,do,We will do,verb-p1p,გავაკეთებთ,future,2,verbs,We will do a big party for friends,ჩვენ მეგობრებისთვის დიდ წვეულებას გავაკეთებთ
do,do_p3p_fut,do,They will do,verb-p3p,გააკეთებენ,future,2,verbs,They will do the job together,ისინი ერთად გააკეთებენ საქმეს
go,go_p1s_past,go,I went,verb-p1s,წავედი,past,2,verbs,I went to school in the morning,მე დილით სკოლაში წავედი
go,go_p2s_past,go,You went,verb-p2s,წახვედი,past,2,verbs,You went to church on Sunday,შენ კვირას ეკლესიაში წახვედი
go,go_p3s_past,go,He/She went,verb-p3s,წავიდა,past,2,verbs,He went to the market to buy fruit,ის წავიდა ბაზარში ხილის საყიდლად
go,go_p1p_past,go,We went,verb-p1p,წავედით,past,2,verbs,We went to the park after lunch,ჩვენ სადილის შემდეგ პარკში წავედით
