"frame_id","stage_id","frame_name","slot_map","usage_summary","deep_grammar"
"identity_state_present","01_being_locating","Identity (Present)","[Subject] + [Noun/Adj] + [Copula]","Say what someone/something is (job, identity, state).","Copula agrees with person; 3rd person is often implicit/fused."
"location_state_present","01_being_locating","Location (Present)","[Subject] + [Place/Relation] + [Copula]","Say where someone/something is (in/on/at/between/under…).","Georgian uses postpositions/case endings to encode location relations."
"origin_state_present","01_being_locating","Origin from Places","[Subject] + [Place]-დან + [Copula]","Say someone/something is from a place.","-დან marks source/origin with places; stems may change before suffixing."
"source_from_people_present","01_being_locating","Source from People","[Source Person]-გან + [Copula/Frame]","Say 'from (a person)' (gift/message from X).","-გან is used for human source/sender, distinct from place -დან."
"adverbial_manner_transform","01_being_locating","Adverbial (Manner & State)","[Subject] + [Adj/Noun]-ად + [Verb]","Describe how (well/badly) or transformation (became X / elected as X).","Adverbial case (-ad) creates adverbs from adjectives and marks state changes."
"negation_core","02_operators","Negation (Core)","[Neg] + [Frame]","Negate statements across frames (incl. reinforced negatives).","Negation placement patterns + double negatives (nothing/nowhere)."
"yes_no_questions_core","02_operators","Yes/No Questions (Core)","[Frame] ?","Ask yes/no questions across frames.","Often minimal structural change; intonation/particles do the work."
"wh_questions_core","02_operators","WH Questions (Core)","[WH] + [Frame]","Ask who/what/where/when/why/how across frames.","WH forms interact with role (e.g., 'who' changes based on function)."
"motion_away_present","03_motion_present","Motion Away (Going)","[Subject] + [Goal/Postposition] + [GO-AWAY Verb]","Say you/they are going somewhere now.","Directional motion encoded in verb family; destination marking interacts with postpositions."
"motion_toward_present","03_motion_present","Motion Toward (Coming)","[Subject] + [Goal/Postposition] + [COME Verb]","Say you/they are coming (toward speaker/anchor).","Contrasts with 'going' for deictic direction; same destination-marking logic."
"motion_from_present","03_motion_present","Motion From (Source)","[Source]-დან/-გან + [COME/GO Verb]","Say you/they are coming/going from somewhere/someone.","Source marking composes with motion verbs; extremely reusable."
"motion_purpose_present","03_motion_present","Motion with Purpose","[Subject] + [GO/COME] + [Purpose Phrase]","Say you’re going/coming in order to do something.","Purpose phrases behave like goals; key bridge into clause-building."
"desire_present","04_experiencer_present","Desire (Want)","[Experiencer] + [Thing] + [Want Verb]","Say what someone wants.","Experiencer-style alignment (inversion family); agreement lives in the verb."
"possession_inanimate_present","04_experiencer_present","Possession (Objects)","[Owner/Experiencer] + [Thing] + [Have-Object Verb]","Say you ‘have’ an object/idea/time.","Same inversion spine as 'want/like'; very high-frequency."
"possession_animate_present","04_experiencer_present","Possession (Living beings)","[Owner/Experiencer] + [Person/Pet] + [Have-Animate Verb]","Say you ‘have’ a person/pet.","Animacy split (different ‘have’ verb) with same experiencer logic."
"liking_present","04_experiencer_present","Liking","[Experiencer] + [Thing] + [Like Verb]","Say what someone likes.","'Pleasing-to' style verb family; same alignment family as want/have."
"preference_present","04_experiencer_present","Preference","[Experiencer] + [Option] + [Prefer Verb] (+ ვიდრე Y)","Say what you prefer / choose between options.","Preference often triggers explicit comparisons; bridges to comparison operators."
"existence_availability_present","05_existence","Existence & Availability","[Noun] + [Existential]","Say 'there is/there isn’t/is there?' + ‘no room/time’.","Existentials are a separate core clause type from copula identity."
"action_intransitive_present","06_action_present","Intransitive Action (Present)","[Subject] + [Verb]","Do an activity with no direct object (work, sleep, live).","Establishes ‘plain subject+verb’ baseline."
"action_transitive_present","06_action_present","Transitive Action (Present)","[Subject] + [Object] + [Verb]","Do something to an object (make/see/read/build…).","Core transitive template; sets up the past-series alignment shift later."
"action_ditransitive_present","06_action_present","Ditransitive / Recipient (Present)","[Subject] + [Recipient] + [Thing] + [Verb]","Give/send/write/show X to Y.","Introduces a second human participant slot cleanly."
"polypersonal_benefactive_present","06_action_present","Benefactive / Version (Present)","[Subject] + [Recipient] + [Object] + [Versioned Verb]","Do something for someone (beneficiary encoded).","Optional but powerful: verbs can encode beneficiary/recipient morphology."
"instrumental_means","06_action_present","Instrumental (Tools & Transport)","[Subject] + [Object/Tool]-ით + [Verb]","Say how you do something (with a knife, by bus, using X).","Instrumental case (-it) is obligatory for non-human means. Distinct from 'with a person'."
"masdar_activity_usage","06_action_present","Masdars (Verbal Nouns)","[Subject] + [Masdar]-ის + [Start/Finish/Like]","Talk about 'doing' an action (start working, love swimming).","Georgian prefers Masdars (nominalized verbs) over infinitives; usually takes Genitive case."
"ability_present","07_modality","Ability / Possibility","[Experiencer] + [Action] + [Can Pattern]","Say can/can’t (personal ability/possibility).","Modal-as-state patterns; complements want/need."
"necessity_present","07_modality","Necessity / Obligation","[უნდა] + [Verb/Form]","Say must/should/need to.","Core necessity operator; interacts strongly with subjunctive/irrealis later."
"screeve_present_series_active","08_screeves_active","Screeve Ladder: Present Series (Active)","[One Verb] × [Persons]","Systematically learn present forms for a model verb.","Paradigm anchor: person/number agreement becomes automatic."
"screeve_future_series_active","09_screeves_active","Screeve Ladder: Future Series (Active)","[Future Verb] × [Persons]","Systematically learn future forms for the same model verb.","Preverbs often participate; prevents ‘I can’t form future’ gap."
"screeve_aorist_series_active","10_screeves_active","Screeve Ladder: Aorist / Completed Past (Active)","[Aorist Verb] × [Persons] (+ case shift)","Systematically learn completed past and the alignment shift.","This is split ergativity territory; must be explicit and drilled."
"screeve_imperfect_series_active","11_screeves_active","Screeve Ladder: Imperfect (Past Ongoing/Habitual)","[Imperfect Verb] × [Persons]","Systematically learn ‘was doing / used to do’.","Gives narrative background and aspect intuition."
"preverb_direction_motion","12_preverbs","Preverbs for Direction (Motion)","[Preverb]-[Motion Root] minimal pairs","Encode path/trajectory (toward/away/in/out/back etc.).","Preverbs are the ‘GPS’; same root, different preverb ⇒ different meaning."
"preverb_aspect_completion","12_preverbs","Preverbs for Aspect/Completion","[Preverb]-[Same Root] completion contrasts","Learn completion/result contrasts via preverbs.","Preverbs are a main aspect engine, not only spatial."
