word_key,key,img_key,EnglishWord,PartOfSpeech,GeorgianWord,hint,priority,group,ExampleEnglish1,ExampleGeorgian1,tips
hello,hello,hello,Hello,phrase,გამარჯობა,greeting,1,phrases,"Hello, how are you today?","გამარჯობა, როგორ ხარ დღეს?",Derived from გამარჯვება (victory). Literally wishing you victory.
thank_you,thank_you,thank_you,Thank you,phrase,მადლობა,phrase,1,phrases,Thank you very much,დიდი მადლობა,"Comes from მადლი = grace/ favor/ blessing, and -ობა which is a common suffix that turns words into abstract nouns, like ""-ness"" or ""-ship"" in English."
yes,yes,yes,Yes (polite /formal),noun,დიახ,misc_nouns,1,phrases,"Yes, it's true.","დიახ, მართალია.","Other ways to say yes: კი (neutral), ჰო (casual), კი ბატონო (yes sir)"
no,no,no,no,noun,არა,misc_nouns,1,phrases,"No, thank you","არა, გმადლობთ",
goodbye,goodbye,goodbye,Goodbye,phrase,ნახვამდის,greeting,1,phrases,"Goodbye, see you later!","ნახვამდის, დროებით!","Broken down: ნახვა (seeing) + -მდე (until). Literally ""Until we see each other""."
please,please,please,Please,phrase,თუ შეიძლება,phrase,1,phrases,"One coffee, please.","ერთი ყავა, თუ შეიძლება.","Literally ""if it is possible""."
excuse_me,excuse_me,excuse_me,Excuse me,phrase,უკაცრავად,phrase,1,phrases,"Excuse me, sir","უკაცრავად, ბატონო",
nice_to_meet_you,nice_to_meet_you,nice_to_meet_you,Nice to meet you,phrase,სასიამოვნოა,phrase,1,phrases,Nice to meet you too,ჩემთვისაც სასიამოვნოა,"Root is სიამოვნება (pleasure). Literally ""it is pleasant""."
be,be_inf,be,being/ to be,verb-inf,ყოფნა,verb,1,verbs,I am glad to be here,აქ ყოფნა მიხარია,
be,be_p1s,be,I am,verb-p1s,მე ვარ,verb,1,verbs,I am a student,მე ვარ სტუდენტი,
be,be_p2s,be,You are,verb-p2s,შენ ხარ,verb,1,verbs,You are very kind,შენ ხარ ძალიან კეთილი,
be,be_p3s,be,He/She/It is,verb-p3s,ის არის,verb,1,verbs,It is good,კარგია (კარგია არის),
be,be_p1p,be,We are,verb-p1p,ჩვენ ვართ,verb,1,verbs,We are family,ჩვენ ვართ ოჯახი,
be,be_p2p,be,You (pl) are,verb-p2p,თქვენ ხართ,verb,1,verbs,You are friends,თქვენ ხართ მეგობრები,
be,be_p3p,be,They are,verb-p3p,ისინი არიან,verb,1,verbs,They are here,ისინი აქ არიან,
a_little,a_little,a_little,a little,adjective,ცოტა,quantity,1,phrases,I speak a little,ცოტა ვლაპარაკობ,
very,very,very,very,adverb,ძალიან,adverb,1,phrases,I love you very much,ძალიან მიყვარხარ,"Comes from ძალა (strength/force). Literally ""strongly""."
here,here,here,here,adverb,აქ,location,1,phrases,come here,მოდი აქ,
its_good,its_good,its_good,It’s good/ It's okay,phrase,კარგია,phrase,1,phrases,This is good,ეს კარგია,"კარგი means good or okay. -ა is often appended to words as a contracted form of “არის”, meaning “is”."
its_beautiful,its_beautiful,its_beautiful,It’s beautiful,phrase,ლამაზია,phrase,1,phrases,The city is beautiful,ქალაქი ლამაზია,"Root is ლამაზი (beautiful). The -ა suffix means ""is""."
delicious,delicious,delicious,delicious,adjective,გემრიელი,food,1,phrases,This food is delicious,ეს საჭმელი გემრიელია,Root is გემო (taste). -იელი is an adjective-forming suffix.
cheers,cheers,cheers,Cheers!,phrase,გაუმარჯოს,phrase,1,phrases,"Cheers, my friend!","გაუმარჯოს, ჩემო მეგობარო!",
