"example_id","frame_id","english","georgian","context","usage_tip"
"id_001","identity_state_present","I am a doctor.","მე ექიმი ვარ.","Introducing yourself.","Basic identity: noun + copula."
"id_002","identity_state_present","You are a doctor.","შენ ექიმი ხარ.","Clarifying someone’s role.","Only the copula changes for 'you'."
"id_003","identity_state_present","He is a doctor.","ის ექიმია.","Talking about someone.","3rd person often uses the shortened “-ია”."
"id_004","identity_state_present","We are doctors.","ჩვენ ექიმები ვართ.","Group introduction.","Plural noun + plural copula."
"id_005","identity_state_present","You guys are doctors.","თქვენ ექიმები ხართ.","Addressing a group.","Plural 'you' uses ხართ."
"id_006","identity_state_present","They are doctors.","ისინი ექიმები არიან.","Talking about a group.","Plural 'they' uses არიან."
"id_007","identity_state_present","I am a student.","მე სტუდენტი ვარ.","Small talk.","Swap the noun; structure stays the same."
"id_008","identity_state_present","I am an engineer.","მე ინჟინერი ვარ.","Work introduction.","Professions drop in as nouns."
"id_009","identity_state_present","I am American.","მე ამერიკელი ვარ.","Introductions.","Nationalities often behave like adjectives."
"id_010","identity_state_present","I am from New York.","მე ნიუ-იორკელი ვარ.","Introductions.","You can use “X-ელი” to mean ‘from X’ (identity-style)."
"id_011","identity_state_present","I am tired.","მე დაღლილი ვარ.","After a long day.","Adjective + copula expresses a state."
"id_012","identity_state_present","You are tired.","შენ დაღლილი ხარ.","Checking on someone.","Same adjective, different copula."
"id_013","identity_state_present","She is tired.","ის დაღლილია.","Commenting on someone.","3rd person can also shorten to “-ია”."
"id_014","identity_state_present","We are tired.","ჩვენ დაღლილები ვართ.","After a trip.","Plural adjective often takes -ები."
"id_015","identity_state_present","They are tired.","ისინი დაღლილები არიან.","Describing a group.","Plural adjective + plural copula."
"id_016","identity_state_present","I am not a doctor.","მე ექიმი არ ვარ.","Correcting a misunderstanding.","Put 'არ' right before the copula."
"id_017","identity_state_present","He is not a doctor.","ის ექიმი არ არის.","Correcting information.","3rd person negation commonly uses 'არ არის'."
"loc_001","location_state_present","I am in Tbilisi.","მე თბილისში ვარ.","Sharing your location.","Use -ში for being in/at a place."
"loc_002","location_state_present","You are in Tbilisi.","შენ თბილისში ხარ.","Confirming where someone is.","Only the copula changes for 'you'."
"loc_003","location_state_present","She is in Tbilisi.","ის თბილისშია.","Talking about someone.","3rd person often shortens to -ა/-ია."
"loc_004","location_state_present","We are in Tbilisi.","ჩვენ თბილისში ვართ.","Group update.","Plural 'we' uses ვართ."
"loc_005","location_state_present","You guys are in Tbilisi.","თქვენ თბილისში ხართ.","Checking on a group.","Plural 'you' uses ხართ."
"loc_006","location_state_present","They are in Tbilisi.","ისინი თბილისში არიან.","Describing a group.","Plural 'they' uses არიან."
"loc_007","location_state_present","I am at home.","მე სახლში ვარ.","Answering the phone.","'სახლი' drops final 'ი' before -ში."
"loc_008","location_state_present","I am in the park.","მე პარკში ვარ.","Casual chat.","Foreign words behave the same with -ში."
"loc_009","location_state_present","I am at work.","მე სამსახურში ვარ.","Busy / unavailable.","'სამსახური' can mean job or workplace."
"loc_010","location_state_present","We are in the city center.","ჩვენ ქალაქის ცენტრში ვართ.","Meeting friends.","Add -ში to the final word of the phrase."
"loc_011","location_state_present","The book is on the table.","წიგნი მაგიდაზეა.","Finding an item.","-ზე means on a surface."
