english,georgian,example_georgian,example_english
speak/say,თქმა,"თქმა ადვილია, შესრულება ძნელი.","Saying is easy, doing is hard."
I will say,ვეტყვი,ხვალ ვეტყვი მას სიმართლეს.,I will tell him tomorrow.
I will tell him/her,ვუთხრა,ხვალ ვუთხრა მას ყველაფერს?,Should I tell him tomorrow?
Tell him/her?,უთხარი?,უთხარი დედას რომ გვიან მოვალ.,Tell mom I’ll be late.
Shall we order?,შევუკვეთოთ?,შევუკვეთოთ პიცა?,Should we order pizza?
order (noun),შეკვეთა,შეკვეთა უკვე გაკეთებულია.,The order is ready.
choice,არჩევა,არჩევა ყოველთვის მარტივი არ არის.,Choosing is hard.
choose!,აირჩიეთ,აირჩიეთ სასმელი მენიუდან.,Choose a drink.
do you prefer,გირჩევნია,გირჩევნია ჩაი თუ ყავა?,Do you want tea or coffee?
dry,მშრალი,მინდა მშრალი პური.,I want dry bread.
sweet,ტკბილი,გირჩევნია ტკბილი ღვინო?,Do you like sweet wine?
spicy,ცხარე,ცხარე საჭმელი მიყვარს.,I like spicy food.
at the same time,ერთდროულად,ერთდროულად ჭამა და საუბარი არ შეიძლება.,Don’t eat and talk at once.
together,ერთად,ვივახშმოთ ერთად.,Let’s eat together.
of course,რა თქმა უნდა,"რა თქმა უნდა, წამოვალ შენთან.",Of course I’ll come.
sure!,აბა რა,"აბა რა, მზად ვარ!","Sure, I’m ready."
being late,დაგვიანება,დაგვიანება ცუდი ჩვევაა.,Being late is bad.
we're running late,მგვიანდება,დღეს მაგვიანდება სკოლაში.,I’m late for school.
on time,დროულად,დროულად მოსვლა მნიშვნელოვანია.,Be on time.
during the day,დღის განმავლობაში,დღის განმავლობაში ბევრი საქმე მაქვს.,I’m busy today.
end of the day,დღის ბოლოს,დღის ბოლოს დავისვენებთ.,We’ll rest later.
early in the morning,დილით ადრე,დილით ადრე ვდგები.,I get up early.
fall asleep,ჩაძინება,გუშინ ძალიან გვიან ჩამეძინა.,I fell asleep late.
I fell asleep,ჩამეძინა,ჩამეძინა ფილმის ყურებისას.,I fell asleep during the movie.
sweet dreams,ტკბილი ძილი,ტკბილი ძილი და მშვიდობიანი ღამე.,Sweet dreams.
did you sleep well?,კარგად გეძინა?,კარგად გეძინა გუშინ?,Did you sleep well?
do you want some water?,წყალი ხომ არ გინდა?,წყალი ხომ არ გინდა დალევად?,Do you want water?
travel snack,საგზალი,დედამ საგზალი მომამზადა.,Mom packed snacks.
will we make it?,მოესწრება?,მოესწრება ტრანსპორტს?,Will we make it?
let’s make it in time,მოვასწროთ,მოვასწროთ მატარებელი!,Let’s hurry!
let’s be on time,დროში ჩავეტიოთ,"დროში ჩავეტიოთ, თუ გვსურს დასწრება.",Let’s be on time.
"I’d like a reservation, please",ჯავშანი მინდა თუ შეიძლება,"ჯავშანი მინდა თუ შეიძლება, ორი კაცისთვის.",I need a reservation.
bedroom,საძინებელი,საძინებელი დიდია და ნათელი.,The bedroom is big.
kitchen,სამზარეულო,სამზარეულო სუფთა და მოწესრიგებულია.,The kitchen is clean.
to sleep,დაძინება,დაძინება მიყვარს გვიან.,I sleep late.
being late,დაგვიანება,დაგვიანება აღარ შეიძლება!,Don’t be late.
heating,გაცხელება,გაცხელება იწყება ნოემბერში.,Heating starts soon.
balcony,აივანი,აივანი ზღვის ხედით გვაქვს.,The balcony has a view.
floor (level),სართული,მესამე სართულია ჩემი ოფისი.,My office is upstairs.
elevator,ლივტი,ლივტი გაფუჭებულია.,The elevator is broken.
stairs,კიბე,კიბეებზე ავდივარ ყოველდღე.,I use the stairs.
sunny room,მზიანი ოთახი,მზიანი ოთახი ხასიათს მიკეთებს.,The room is sunny.
chair,სკამი,სკამი არაკომფორტულია.,The chair is hard.
table,მაგიდა,მაგიდა დიდი და ხისაა.,The table is big.
cake,ტორტი,ტორტი შოკოლადის იყო.,The cake is chocolate.
to cut,დაჭრა,დაჭრა საჭირო გახდა.,We need to cut it.
cheers! (archaic/toast),ალავერდი,ალავერდი! გავიმარჯვე!,Cheers!
Melikishvili (street or name),მელიქიფე,მელიქიფეზე ვცხოვრობ.,I live on Melikishvili.
