"example_id","frame_id","english","georgian","context","usage_tip"
"101","identity_state","I am a student.","მე სტუდენტი ვარ.","Introducing yourself.","We often drop 'მე' because 'ვარ' already indicates who is speaking."
"102","identity_state","You are very brave.","შენ ძალიან მამაცი ხარ.","Encouraging a friend.","'მამაცი' comes from 'მამა' (Father), historically implying 'fatherly strength'."
"103","identity_state","He is a doctor.","ის ექიმია.","Describing a job.","The final '-ა' is the verb 'არის' fused directly onto the noun 'ექიმი'."
"104","identity_state","We are ready.","ჩვენ მზად ვართ.","Leaving the house.","'მზად' is an adverb. Literally: 'We are in a state of readiness'."
"105","identity_state","Are you guys Georgians?","თქვენ ქართველები ხართ?","Meeting a group.","'ქართველი' is the person. 'საქართველო' is the country. 'ქართული' is the language."
"106","identity_state","They are tired.","ისინი დაღლილები არიან.","Explaining low energy.","Adjectives for plural people ('ისინი') must also be plural (ending in '-ები')."
"107","identity_state","Giorgi is a kind person.","გიორგი კეთილი ადამიანია.","Describing character.","'კეთილი' means good-willed. 'ადამიანი' is the standard word for human/person."
"108","identity_state","Of course, you are right.","რა თქმა უნდა, შენ მართალი ხარ.","Conceding an argument.","'რა თქმა უნდა' is a set phrase meaning 'Of course' (Lit: What must be said)."
"109","identity_state","This is very important.","ეს ძალიან მნიშვნელოვანია.","Stressing a point.","'ძალიან' (Very) comes from the root 'ძალა' (Power/Force)."
"110","identity_state","It is not like that.","ეს ასე არ არის.","Correcting a mistake.","'ასე' means 'like this'. 'ისე' means 'like that'."
"111","identity_state","I am sick / I feel bad.","მე ცუდად ვარ.","Calling in sick.","Literally 'I am badly'. Georgian uses adverbs ('-ად'), not adjectives, for health states."
"112","identity_state","Everything is okay.","ყველაფერი რიგზეა.","Reassuring someone.","'რიგზე' comes from 'რიგი' (Queue/Line). Literally: 'Everything is in line'."
"113","identity_state","I am not Georgian, I am American.","მე არ ვარ ქართველი, ამერიკელი ვარ.","Clarifying nationality.","Notice we use 'არ' (not) before the verb. In the second half, we dropped 'მე'."
"114","identity_state","This looks like a very interesting book.","ეს ძალიან საინტერესო წიგნია.","Browsing a bookstore.","We fused 'არის' to the end of 'წიგნი' to make 'წიგნია'."
"115","identity_state","Are we really alone here?","ჩვენ აქ მართლა მარტო ვართ?","Checking for privacy.","'მართლა' means really/truly. 'მარტო' means alone."
"201","location_state","I am in Tbilisi.","მე თბილისში ვარ.","Location status.","'თბილისი' ends in 'ი', so we drop that vowel before adding '-ში'."
"202","location_state","Are you at home?","შენ სახლში ხარ?","Checking availability.","'სახლი' drops its final 'ი' vowel before adding '-ში'. This is a standard rule."
"203","location_state","She is in the shop.","ის მაღაზიაშია.","Locating someone.","We combine the location ('-ში') and the verb ('-ა') into one sound: '-შია'."
"204","location_state","We are in the park.","ჩვენ პარკში ვართ.","Meeting friends.","Even foreign words like 'პარკი' follow the rule: drop 'ი', add '-ში'."
"205","location_state","Are you guys at the hotel?","თქვენ სასტუმროში ხართ?","Vacation planning.","'სასტუმრო' comes from 'სტუმარი' (Guest). Literally: 'The place for guests'."
"206","location_state","They are in the garden.","ისინი ბაღში არიან.","Pointing out guests.","'ბაღი' means garden. Not to be confused with 'ბაგა' (Manger/Nursery)."
"207","location_state","Mom is in the kitchen.","დედა სამზარეულოშია.","Family dinner.","'სამზარეულო' (Kitchen) is the 'Place for cooking' ('მზადება')."
"208","location_state","The book is on the table.","წიგნი მაგიდაზეა.","Finding an item.","'-ზე' is the marker for 'On'. It implies touching the surface."
"209","location_state","Where is it?","სად არის?","Looking for something.","'სად' is the question word. 'სად არის' is the standard phrase for 'Where is X?'."
"210","location_state","Stop here, please.","აქ გააჩერეთ, თუ შეიძლება.","Taxi / Public transit.","'გააჩერეთ' is the plural/polite command to stop."
"211","location_state","I am at work.","მე სამსახურში ვარ.","Busy on the phone.","'სამსახური' refers to both the abstract 'job' and the physical 'workplace'."
"212","location_state","There is no space.","ადგილი არ არის.","Full bus/restaurant.","'ადგილი' is a versatile word meaning Seat, Place, Space, or Room."
"213","location_state","We are currently in the city center.","ჩვენ ახლა ქალაქის ცენტრში ვართ.","Updating location.","'ქალაქის ცენტრი' is 'City's center'. We add '-ში' to the final word 'ცენტრი'."
"214","location_state","Where exactly are you guys?","თქვენ ზუსტად სად ხართ?","Finding friends in a crowd.","'ზუსტად' means exactly. It adds urgency or precision to the question."
"215","location_state","I am not at home, I am outside.","მე სახლში არ ვარ, გარეთ ვარ.","Talking to a courier.","'გარეთ' is the general word for outside/outdoors."
"301","desire_present","I want water.","მე წყალი მინდა.","Ordering a drink.","This uses the Dative case. 'მე' here is technically the receiver."
"302","desire_present","Do you want Khinkali?","შენ ხინკალი გინდა?","Asking a preference.","The 'გ-' sound at the start of 'გინდა' marks 'You' as the person wanting."
