chunk_ka,chunk_en,explanation,example_ka,example_en
"გამარჯობა","Hello","The standard, universal greeting. Can be used at any time of day in almost any situation, formal or informal. Literally means 'victory'.","გამარჯობა, როგორ ხარ?","Hello, how are you?"
"როგორ ხარ?","How are you?","The most common, informal way to ask someone 'How are you?'. Use the formal 'როგორ ხართ?' with elders, strangers, or in professional settings.","კარგად, შენ როგორ ხარ?","I'm well, how are you?"
"მადლობა","Thank you","The basic way to say 'thank you'. To be more emphatic, you can say 'დიდი მადლობა' for 'thank you very much'.","მადლობა დახმარებისთვის.","Thank you for the help."
"ნახვამდის","Goodbye","The standard, all-purpose goodbye. It literally means 'until we see each other again'.","კარგი, ახლა წავედი. ნახვამდის!","Okay, I'm leaving now. Goodbye!"
"ბოდიში","Sorry / Excuse me","Used for apologizing for a mistake or for getting someone's attention (like 'excuse me').","ბოდიში, უკაცრავად, საპირფარეშო სად არის?","Excuse me, sorry, where is the restroom?"
"კი / არა","Yes / No","The fundamental words for 'yes' and 'no'. Essential for any interaction.","- ყავა გინდა? - კი, გმადლობ.","- Do you want coffee? - Yes, thank you."
"რა ღირს?","How much is it?","The most important phrase for shopping, in a taxi, or at a market.","ეს ყველი რა ღირს?","How much is this cheese?"
"სად არის?","Where is...?","Essential for asking for directions to any place.","უკაცრავად, თავისუფლების მოედანი სად არის?","Excuse me, where is Freedom Square?"
"ვერ გავიგე","I didn't understand","Crucial for learners. It clearly communicates that you need the speaker to repeat themselves or speak more slowly.","ბოდიში, ვერ გავიგე. შეგიძლიათ გაიმეოროთ?","Sorry, I didn't understand. Can you repeat that?"
"არა უშავს","No problem / It's okay","A highly versatile phrase. Use it to respond to an apology, to say something isn't a big deal, or to reassure someone. Literally 'it doesn't harm anything'.","- ბოდიში, დამაგვიანდა. - არა უშავს, მოდი.","- Sorry, I'm late. - No problem, come on in."
"თუ შეიძლება","Please / If it's possible","The most common way to say 'please'. Tack it onto the end of any request to make it polite.","ანგარიში, თუ შეიძლება.","The bill, please."
"გემრიელია","It's delicious","A must-know phrase for eating at someone's home or in a restaurant. Georgians appreciate compliments on their food.","ეს ხაჭაპური ძალიან გემრიელია!","This Khachapuri is very delicious!"
"გაუმარჯოს!","Cheers! / To victory!","The essential word for a toast. You will hear this constantly during a Georgian supra (feast). It's used when clinking glasses.","მეგობრობას გაუმარჯოს!","To friendship, cheers!"
"არაფრის","You're welcome","The standard response to 'მადლობა' (thank you).","- დიდი მადლობა! - არაფრის.","- Thank you very much! - You're welcome."
"მე მქვია...","My name is...","The primary way to introduce yourself.","გამარჯობა, მე მქვია ანა.","Hello, my name is Ana."
"მეც","Me too / Same here","Used to agree with or mirror what someone else said.","- მომწონს ეს მუსიკა. - მეც.","- I like this music. - Me too."
"შენც","You too / Same to you","Common as a polite response when someone wishes you something.","- წარმატებები! - შენც.","- Good luck! - You too."
"გინდა სახლში შევიდეთ?","Would you like to go in the house?","A polite suggestion to enter indoors together.","ცივა გარეთ, გინდა სახლში შევიდეთ?","It's cold outside, would you like to go in the house?"
"რა მაგარია!","That's awesome! / How cool!","Used to express excitement or admiration.","ვაუ, რა მაგარია ეს მანქანა!","Wow, that car is awesome!"
"სულ ესაა","That's all!","Use it to say you're done, finished, or nothing more.","ფული აღარ მაქვს, სულ ესაა.","I have no more money, that's all."
"როგორც გინდა","As you like / Up to you","Used when leaving a choice to someone else.","შეგვიძლია წავიდეთ ან დავრჩეთ, როგორც გინდა.","We can go or stay, as you like."
"გული გამისკდა","My heart exploded (expression)","Figurative way to express extreme fear, shock, or sudden emotion. Literally 'my heart broke open'.","როცა მოულოდნელად დამიძახე, გული გამისკდა!","When you suddenly called me, my heart exploded!"
"გილოცავ დაბადების დღეს!","Happy birthday!","The standard way to wish someone a happy birthday.","გილოცავ დაბადების დღეს, ნინო!","Happy birthday, Nino!"
"ახლა ბევრი საქმე მაქვს","I have a lot of work right now","A useful everyday phrase to explain being busy.","ვერ გამოვალ, ახლა ბევრი საქმე მაქვს.","I can't come out, I have a lot of work right now."
"რა შეგემთხვა?","What happened to you?","Used when someone looks different, upset, or something unusual happened.","ისეთი ღელავ, რა შეგემთხვა?","You look so worried, what happened to you?"
"რას მელაპარაკები?","What are you talking to me (expression)","An informal way to say 'What are you talking about?'","რა სისულელეა, რას მელაპარაკები?","That's nonsense, what are you talking about?"
"ერთი ყლუპი","One sip","Used literally or figuratively (e.g., when drinking wine or water).","მომეცი ერთი ყლუპი ღვინო.","Give me one sip of wine."
"როდის ჩამოხვედი?","When did you arrive?","Asking when someone got here.","გუშინ როდის ჩამოხვედი?","When did you arrive yesterday?"
"როდის მოხვალ?","When will you arrive?","Used when expecting someone.","ხვალ როდის მოხვალ?","When will you arrive tomorrow?"
"მახსოვს","I remember","A key everyday verb. Used with objects or situations.","მახსოვს შენი სიტყვები.","I remember your words."
"დილა მშვიდობისა","Good morning","The standard greeting for the morning. Literally 'morning of peace'.","დილა მშვიდობისა, ყავა ხომ არ გინდა?","Good morning, would you like some coffee?"
"ღამე მშვიდობისა","Good night","The standard phrase said before going to sleep or parting ways for the night. Literally 'night of peace'.","კარგი, მეძინება. ღამე მშვიდობისა.","Okay, I'm sleepy. Good night."
"მენიუ, თუ შეიძლება","The menu, please","The essential phrase for asking for the menu in a restaurant or cafe.","უკაცრავად, მენიუ, თუ შეიძლება.","Excuse me, the menu, please."
"რას მირჩევთ?","What do you recommend?","A great question to ask a waiter or shop assistant for their recommendation.","ყველაფერი გემრიელად გამოიყურება. რას მირჩევთ?","Everything looks delicious. What do you recommend?"
"ანგარიში, თუ შეიძლება","The bill, please","The standard, polite way to ask for the check at the end of a meal.","ძალიან კარგი იყო, მადლობა. ანგარიში, თუ შეიძლება.","It was very good, thank you. The bill, please."
"უბრალოდ ვათვალიერებ","I'm just looking/browsing","A polite way to respond to a shop assistant who asks if you need help.","მადლობა, უბრალოდ ვათვალიერებ.","Thank you, I'm just looking."
"შეიძლება მოვიზომო?","Can I try this on?","The question to ask in a clothing store before heading to the fitting room.","ეს შარვალი მომეწონა, შეიძლება მოვიზომო?","I liked these pants, can I try them on?"
"როგორ მივიდე ...-მდე?","How do I get to...?","The fundamental structure for asking for directions. Fill in the blank with your destination.","ბოდიში, როგორ მივიდე ოპერამდე?","Excuse me, how do I get to the Opera?"
